,created_at,source,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,hashtags,user_mentions,place
3132,2021-06-18 23:17:29+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",-0.054166666666666675,0.425,en,,,PlanNineNorth,26,19,"[{'text': 'FourthWaveCanada', 'indices': [0, 17]}, {'text': 'COVID19', 'indices': [18, 26]}]",[],Canada
3133,2021-06-18 23:17:34+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-0.25,0.25,en,,,Traceva001,1514,4273,"[{'text': 'COVID19', 'indices': [31, 39]}]","[{'screen_name': 'WHO', 'name': 'World Health Organization (WHO)', 'id': 14499829, 'id_str': '14499829', 'indices': [3, 7]}, {'screen_name': 'DrTedros', 'name': 'Tedros Adhanom Ghebreyesus', 'id': 189868631, 'id_str': '189868631', 'indices': [9, 18]}]","London, England"
3134,2021-06-18 23:17:36+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-0.0625,0.25,en,,,MarlaWeezie,7308,7894,"[{'text': 'COVID19', 'indices': [26, 34]}]","[{'screen_name': 'CDCgov', 'name': 'CDC', 'id': 146569971, 'id_str': '146569971', 'indices': [3, 10]}]","Miami, FL"
3135,2021-06-18 23:17:37+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-0.09166666666666666,0.41666666666666663,en,,,Traceva001,1514,4273,[],"[{'screen_name': 'WHO', 'name': 'World Health Organization (WHO)', 'id': 14499829, 'id_str': '14499829', 'indices': [3, 7]}, {'screen_name': 'DrTedros', 'name': 'Tedros Adhanom Ghebreyesus', 'id': 189868631, 'id_str': '189868631', 'indices': [9, 18]}]","London, England"
3136,2021-06-18 23:18:05+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,0.0,en,,,aneesafalasteen,3283,3875,[],"[{'screen_name': 'shawajason', 'name': 'J. Shawa  جاسم الشوا', 'id': 431029718, 'id_str': '431029718', 'indices': [3, 14]}]",Planet Earth
3137,2021-06-18 23:18:10+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.17777777777777778,0.2111111111111111,en,,,Traceva001,1514,4273,[],"[{'screen_name': 'WHO', 'name': 'World Health Organization (WHO)', 'id': 14499829, 'id_str': '14499829', 'indices': [3, 7]}, {'screen_name': 'DrTedros', 'name': 'Tedros Adhanom Ghebreyesus', 'id': 189868631, 'id_str': '189868631', 'indices': [9, 18]}, {'screen_name': 'G7', 'name': 'G7 UK', 'id': 3191500397, 'id_str': '3191500397', 'indices': [19, 22]}]","London, England"
3138,2021-06-18 23:18:19+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,0.0,en,,,Traceva001,1514,4273,"[{'text': 'COVID19', 'indices': [67, 75]}]","[{'screen_name': 'WHO', 'name': 'World Health Organization (WHO)', 'id': 14499829, 'id_str': '14499829', 'indices': [3, 7]}, {'screen_name': 'DrTedros', 'name': 'Tedros Adhanom Ghebreyesus', 'id': 189868631, 'id_str': '189868631', 'indices': [9, 18]}, {'screen_name': 'G7', 'name': 'G7 UK', 'id': 3191500397, 'id_str': '3191500397', 'indices': [19, 22]}]","London, England"
3139,2021-06-18 23:18:23+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.5,0.5,en,,,Traceva001,1514,4273,[],"[{'screen_name': 'WHO', 'name': 'World Health Organization (WHO)', 'id': 14499829, 'id_str': '14499829', 'indices': [3, 7]}, {'screen_name': 'DrTedros', 'name': 'Tedros Adhanom Ghebreyesus', 'id': 189868631, 'id_str': '189868631', 'indices': [9, 18]}, {'screen_name': 'G7', 'name': 'G7 UK', 'id': 3191500397, 'id_str': '3191500397', 'indices': [19, 22]}]","London, England"
3140,2021-06-18 23:18:40+00:00,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",0.2,0.1,en,,,AlArabiya_Eng,887874,45,"[{'text': 'India', 'indices': [0, 6]}]",[],Dubai
3141,2021-06-18 23:18:43+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.0,0.0,en,,,juancarlossaid,28546,2257,"[{'text': 'COVID19', 'indices': [18, 26]}]","[{'screen_name': 'DrTedros', 'name': 'Tedros Adhanom Ghebreyesus', 'id': 189868631, 'id_str': '189868631', 'indices': [3, 12]}]","Santiago, Chile"
3142,2021-06-18 23:18:46+00:00,"<a href=""https://plutonic.co.in"" rel=""nofollow"">Corona Virus Update Bot</a>",0.2,0.1,en,,,CoronaUpdateBot,1267,2,"[{'text': 'India', 'indices': [19, 25]}]","[{'screen_name': 'AlArabiya_Eng', 'name': 'Al Arabiya English', 'id': 22240612, 'id_str': '22240612', 'indices': [3, 17]}]",
3143,2021-06-18 23:19:27+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.023905723905723892,0.4447811447811448,en,,,GOConnor2000,761,1882,"[{'text': 'COVID19', 'indices': [123, 131]}]","[{'screen_name': 'paulreiddublin', 'name': 'Paul Reid', 'id': 255147207, 'id_str': '255147207', 'indices': [3, 18]}]","Waterford, Ireland"
