,created_at,source,original_text,polarity,subjectivity,lang,favorite_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place,clean_text,flattened_hashtags
3457,2021-06-19 00:15:10+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @shawajason: Liars. You tried to load off your expired vaccines. Just another war crime by Israel. https://t.co/TI0vK8DQLw,0.0,0.0,en,,h4iq4l,107,1398,False,[],"[{'screen_name': 'shawajason', 'name': 'J. Shawa  جاسم الشوا', 'id': 431029718, 'id_str': '431029718', 'indices': [3, 14]}]",Malay-Sia,RT @shawajason Liars You tried to load off your expired vaccines Just another war crime by Israel httpstcoTIvKDQLw,#COVID
3458,2021-06-19 00:15:13+00:00,"<a href=""https://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>","An ‘African passport’ is expected to roll out in 2021 – what it means for South Africa

--&gt; https://t.co/C4iTzFcl67… https://t.co/Z1vePex3uq",-0.05,0.2,en,,docs2go,1039,1441,False,[],[],South Africa,"An African passport is expected to roll out in   what it means for South Africa

gt httpstcoCiTzFcl httpstcoZvePexuq",#COVID
3459,2021-06-19 00:15:27+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@KeithOlbermann @Bease11 ⚕️ Learn from the Experts at @CDCgov

✅ For the BEST PROTECTION against #COVID19, @CDCgov… https://t.co/r7PmriXgCw",1.0,0.3,en,,Rosenchild,13363,12138,False,['#COVID'],"[{'screen_name': 'KeithOlbermann', 'name': 'Keith Olbermann', 'id': 130617778, 'id_str': '130617778', 'indices': [0, 15]}, {'screen_name': 'Bease11', 'name': 'Cole Beasley', 'id': 172997949, 'id_str': '172997949', 'indices': [16, 24]}, {'screen_name': 'CDCgov', 'name': 'CDC', 'id': 146569971, 'id_str': '146569971', 'indices': [54, 61]}, {'screen_name': 'CDCgov', 'name': 'CDC', 'id': 146569971, 'id_str': '146569971', 'indices': [107, 114]}]","New York, NY","@KeithOlbermann @Bease  Learn from the Experts at @CDCgov

 For the BEST PROTECTION against #COVID @CDCgov httpstcorPmriXgCw",#COVID
3460,2021-06-19 00:15:46+00:00,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @NathanStall: 👇👇👇

""People are free to believe that #COVID19 is a hoax, and to argue that vaccines are a plot...but there is no constitu…",0.4,0.8,en,,willfalk,4879,3841,,['#COVID'],"[{'screen_name': 'NathanStall', 'name': 'Nathan Stall', 'id': 936078120, 'id_str': '936078120', 'indices': [3, 15]}]","East Garafraxa, Ontario","RT @NathanStall 

People are free to believe that #COVID is a hoax and to argue that vaccines are a plotbut there is no constitu",#vaccine
3461,2021-06-19 00:15:56+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @Rosenchild: @KeithOlbermann @Bease11 ⚕️ Learn from the Experts at @CDCgov

✅ For the BEST PROTECTION against #COVID19, @CDCgov recommen…",1.0,0.3,en,,Rosenchild,13363,12138,,['#COVID'],"[{'screen_name': 'Rosenchild', 'name': 'VonVictor V. Rosenchild', 'id': 480875170, 'id_str': '480875170', 'indices': [3, 14]}, {'screen_name': 'KeithOlbermann', 'name': 'Keith Olbermann', 'id': 130617778, 'id_str': '130617778', 'indices': [16, 31]}, {'screen_name': 'Bease11', 'name': 'Cole Beasley', 'id': 172997949, 'id_str': '172997949', 'indices': [32, 40]}, {'screen_name': 'CDCgov', 'name': 'CDC', 'id': 146569971, 'id_str': '146569971', 'indices': [70, 77]}, {'screen_name': 'CDCgov', 'name': 'CDC', 'id': 146569971, 'id_str': '146569971', 'indices': [123, 130]}]","New York, NY","RT @Rosenchild @KeithOlbermann @Bease  Learn from the Experts at @CDCgov

 For the BEST PROTECTION against #COVID @CDCgov recommen",#CareHome
3462,2021-06-19 00:16:00+00:00,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","“Risk of COVID-19 Infection Plummets 21 Days after a Vaccination” - via @newscientist - https://t.co/MHGGyBWiWa
--… https://t.co/QGKxSfXGcz",0.0,0.0,en,,Vaxyourfam,8538,2237,False,[],"[{'screen_name': 'newscientist', 'name': 'New Scientist', 'id': 19658826, 'id_str': '19658826', 'indices': [72, 85]}]",United States,"Risk of COVID Infection Plummets  Days after a Vaccination  via @newscientist  httpstcoMHGGyBWiWa
 httpstcoQGKxSfXGcz",#WeCanDoThis
3463,2021-06-19 00:16:01+00:00,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","“No, the COVID-19 Vaccine Will Not Make You Magnetic” - via @SELFmagazine - https://t.co/JNojBfKrqA
--
#COVID19… https://t.co/sqOJS8ZWHR",0.0,0.0,en,,Vaxyourfam,8538,2237,False,['#COVID'],"[{'screen_name': 'SELFmagazine', 'name': 'SELF', 'id': 23798922, 'id_str': '23798922', 'indices': [60, 73]}]",United States,"No the COVID Vaccine Will Not Make You Magnetic  via @SELFmagazine  httpstcoJNojBfKrqA

#COVID httpstcosqOJSZWHR",#COVID
3464,2021-06-19 00:16:02+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @TelGlobalHealth: 🚨Africa is ""in the midst of a full-blown third wave"" of coronavirus, the head of @WHOAFRO has warned

Cases have risen…",0.0,0.0,en,,meidas_sara,200,403,,[],"[{'screen_name': 'TelGlobalHealth', 'name': 'Telegraph Global Health Security', 'id': 1149218984346230784, 'id_str': '1149218984346230784', 'indices': [3, 19]}, {'screen_name': 'WHOAFRO', 'name': 'WHO African Region', 'id': 544389588, 'id_str': '544389588', 'indices': [102, 110]}]","Minneapolis, MN","RT @TelGlobalHealth Africa is in the midst of a fullblown third wave of coronavirus the head of @WHOAFRO has warned

Cases have risen",#Africa
3465,2021-06-19 00:16:17+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",I would be happy to get the state park pass or fishing license.,0.8,1.0,en,,JilanInVegas,1143,890,,[],[],"East side of Vegas, NV",I would be happy to get the state park pass or fishing license,#LDCs
3466,2021-06-19 00:16:25+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @shawajason: Liars. You tried to load off your expired vaccines. Just another war crime by Israel. https://t.co/TI0vK8DQLw,0.0,0.0,en,,Najakhyar,110,201,False,[],"[{'screen_name': 'shawajason', 'name': 'J. Shawa  جاسم الشوا', 'id': 431029718, 'id_str': '431029718', 'indices': [3, 14]}]",Malaysia,RT @shawajason Liars You tried to load off your expired vaccines Just another war crime by Israel httpstcoTIvKDQLw,#COVID
3467,2021-06-19 00:16:31+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @stevelanebitch: Michigan opens 100% indoor/outdoors and drops masks June 22nd. @fordnation looks like a inept coward. Open Ontario 100%…,0.0,0.5,en,,freedominion,5040,5125,,[],"[{'screen_name': 'stevelanebitch', 'name': 'FFAC 🇨🇦', 'id': 2296655965, 'id_str': '2296655965', 'indices': [3, 18]}, {'screen_name': 'fordnation', 'name': 'Doug Ford', 'id': 2809959174, 'id_str': '2809959174', 'indices': [83, 94]}]",Canada,RT @stevelanebitch Michigan opens  indooroutdoors and drops masks June nd @fordnation looks like a inept coward Open Ontario ,#coronavirus
3468,2021-06-19 00:16:42+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @stevelanebitch: Michigan opens 100% indoor/outdoors and drops masks June 22nd. @fordnation looks like a inept coward. Open Ontario 100%…,0.0,0.5,en,,tommyguns1962,42,382,,[],"[{'screen_name': 'stevelanebitch', 'name': 'FFAC 🇨🇦', 'id': 2296655965, 'id_str': '2296655965', 'indices': [3, 18]}, {'screen_name': 'fordnation', 'name': 'Doug Ford', 'id': 2809959174, 'id_str': '2809959174', 'indices': [83, 94]}]",,RT @stevelanebitch Michigan opens  indooroutdoors and drops masks June nd @fordnation looks like a inept coward Open Ontario ,#coronavirus
3469,2021-06-19 00:16:43+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @shawajason: Liars. You tried to load off your expired vaccines. Just another war crime by Israel. https://t.co/MBBXzCwqqZ https://t.co/…,0.0,0.0,en,,peter_donnelly,1448,2052,False,[],"[{'screen_name': 'shawajason', 'name': 'J. Shawa  جاسم الشوا', 'id': 431029718, 'id_str': '431029718', 'indices': [3, 14]}]",,RT @shawajason Liars You tried to load off your expired vaccines Just another war crime by Israel httpstcoMBBXzCwqqZ httpstco,#coronavirus
3470,2021-06-19 00:17:28+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BogochIsaac: Ontario administered 205,062 #COVID19 vaccines so far today. 84% were 2nd doses.

Thousands of people are essential in mak…",0.03333333333333333,0.43333333333333335,en,,LightDreamTwo,31,35,,['#COVID'],"[{'screen_name': 'BogochIsaac', 'name': 'Isaac Bogoch', 'id': 1093695069176000512, 'id_str': '1093695069176000512', 'indices': [3, 15]}]","Toronto, Ontario","RT @BogochIsaac Ontario administered  #COVID vaccines so far today  were nd doses

Thousands of people are essential in mak",#COVID
3471,2021-06-19 00:17:31+00:00,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","South Africa and UK &gt;10k new #COVID19 yesterday with daily average doubling past 2wks.

Nations w/ high COVID-19 2w… https://t.co/jnHCLeb5GK",-0.020727272727272733,0.32890909090909093,en,,jmlukens,377,289,False,['#COVID'],[],California,"South Africa and UK gtk new #COVID yesterday with daily average doubling past wks

Nations w high COVID w httpstcojnHCLebGK",#COVID
3472,2021-06-19 00:17:38+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Vaxyourfam: “No, the COVID-19 Vaccine Will Not Make You Magnetic” - via @SELFmagazine - https://t.co/JNojBfKrqA
--
#COVID19 #covidvacci…",0.0,0.0,en,,PedsMamaDoc,5741,3634,False,"['#COVID', '#covidvacci']","[{'screen_name': 'Vaxyourfam', 'name': 'Vaccinate Your Family', 'id': 171934520, 'id_str': '171934520', 'indices': [3, 14]}, {'screen_name': 'SELFmagazine', 'name': 'SELF', 'id': 23798922, 'id_str': '23798922', 'indices': [76, 89]}]","Minneapolis, MN","RT @Vaxyourfam No the COVID Vaccine Will Not Make You Magnetic  via @SELFmagazine  httpstcoJNojBfKrqA

#COVID #covidvacci",#COVID
